crop,face,tablet,script,side,line_no,n_lines,atf_line,atf_aligned,y_center,x0,y0,x1,y1,pitch_px,skew_deg,face_w,face_h,photo_crop_x0,photo_crop_y0,n_boxes
samples/ebl/AO.9073/lines/AO.9073__reverse__L09.jpg,AO.9073__reverse,AO.9073,NA,reverse,9,16,9',True,1052.5,445,992,2620,1109,119.1,-2.06,3696,2652,162,5418,8
samples/ebl/AO.9073/lines/AO.9073__reverse__L10.jpg,AO.9073__reverse,AO.9073,NA,reverse,10,16,10',True,1166.1,449,1109,1085,1225,119.1,-2.06,3696,2652,162,5418,2
samples/ebl/AO.9073/lines/AO.9073__reverse__L11.jpg,AO.9073__reverse,AO.9073,NA,reverse,11,16,11',True,1285.1,382,1225,1189,1345,119.1,-2.06,3696,2652,162,5418,4
samples/ebl/AO.9073/lines/AO.9073__reverse__L12.jpg,AO.9073__reverse,AO.9073,NA,reverse,12,16,12',True,1406.1,186,1345,1349,1527,119.1,-2.06,3696,2652,162,5418,5
samples/ebl/AO.9073/lines/AO.9073__reverse__L13.jpg,AO.9073__reverse,AO.9073,NA,reverse,13,16,13',True,1661.6,349,1527,3189,1769,119.1,-2.06,3696,2652,162,5418,10
samples/ebl/AO.9073/lines/AO.9073__reverse__L14.jpg,AO.9073__reverse,AO.9073,NA,reverse,14,16,14',True,1877.4,480,1769,3149,2000,119.1,-2.06,3696,2652,162,5418,14
samples/ebl/AO.9073/lines/AO.9073__reverse__L15.jpg,AO.9073__reverse,AO.9073,NA,reverse,15,16,15',True,2109.4,671,2000,3358,2246,119.1,-2.06,3696,2652,162,5418,13
samples/ebl/AO.9073/lines/AO.9073__reverse__L16.jpg,AO.9073__reverse,AO.9073,NA,reverse,16,16,16',True,2374.5,1070,2246,2755,2476,119.1,-2.06,3696,2652,162,5418,10
samples/ebl/BM.42264/lines/BM.42264__edge__L01.jpg,BM.42264__edge,BM.42264,OB,edge,1,4,7,True,307.1,0,159,918,545,464.7,-3.05,918,1986,573,897,12
samples/ebl/BM.42264/lines/BM.42264__edge__L02.jpg,BM.42264__edge,BM.42264,OB,edge,2,4,8,True,771.8,0,545,918,1007,464.7,-3.05,918,1986,573,897,10
samples/ebl/BM.42264/lines/BM.42264__edge__L03.jpg,BM.42264__edge,BM.42264,OB,edge,3,4,5,True,1224.0,0,1007,870,1472,464.7,-3.05,918,1986,573,897,5
samples/ebl/BM.42264/lines/BM.42264__edge__L04.jpg,BM.42264__edge,BM.42264,OB,edge,4,4,6,True,1732.4,0,1472,918,1877,464.7,-3.05,918,1986,573,897,11
samples/ebl/BM.42264/lines/BM.42264__obverse__L01.jpg,BM.42264__obverse,BM.42264,OB,obverse,1,6,1,True,190.5,118,131,348,258,116.0,-3.43,872,896,593,47,1
samples/ebl/BM.42264/lines/BM.42264__obverse__L02.jpg,BM.42264__obverse,BM.42264,OB,obverse,2,6,2,True,342.7,73,258,773,401,116.0,-3.43,872,896,593,47,4
samples/ebl/BM.42264/lines/BM.42264__obverse__L03.jpg,BM.42264__obverse,BM.42264,OB,obverse,3,6,3,True,459.7,12,401,867,517,116.0,-3.43,872,896,593,47,6
samples/ebl/BM.42264/lines/BM.42264__obverse__L04.jpg,BM.42264__obverse,BM.42264,OB,obverse,4,6,4,True,575.7,106,517,849,628,116.0,-3.43,872,896,593,47,5
samples/ebl/BM.42264/lines/BM.42264__obverse__L05.jpg,BM.42264__obverse,BM.42264,OB,obverse,5,6,5,True,680.4,35,628,786,728,116.0,-3.43,872,896,593,47,4
samples/ebl/BM.42264/lines/BM.42264__obverse__L06.jpg,BM.42264__obverse,BM.42264,OB,obverse,6,6,6,True,776.2,532,728,761,835,116.0,-3.43,872,896,593,47,1
samples/ebl/BM.42264/lines/BM.42264__reverse__L01.jpg,BM.42264__reverse,BM.42264,OB,reverse,1,4,1,True,187.7,203,113,922,242,115.1,-2.61,960,966,555,1425,5
samples/ebl/BM.42264/lines/BM.42264__reverse__L02.jpg,BM.42264__reverse,BM.42264,OB,reverse,2,4,2,True,297.7,72,242,836,481,115.1,-2.61,960,966,555,1425,5
samples/ebl/BM.42264/lines/BM.42264__reverse__L03.jpg,BM.42264__reverse,BM.42264,OB,reverse,3,4,3,True,671.7,118,481,721,729,115.1,-2.61,960,966,555,1425,4
samples/ebl/BM.42264/lines/BM.42264__reverse__L04.jpg,BM.42264__reverse,BM.42264,OB,reverse,4,4,4,True,786.8,255,729,486,845,115.1,-2.61,960,966,555,1425,1
samples/ebl/HS.2067/lines/HS.2067__obverse__L01.jpg,HS.2067__obverse,HS.2067,OB,obverse,1,6,1,True,336.7,217,135,1324,467,230.4,-7.18,1324,1913,553,0,10
samples/ebl/HS.2067/lines/HS.2067__obverse__L02.jpg,HS.2067__obverse,HS.2067,OB,obverse,2,6,2,True,597.3,50,467,1324,712,230.4,-7.18,1324,1913,553,0,13
samples/ebl/HS.2067/lines/HS.2067__obverse__L03.jpg,HS.2067__obverse,HS.2067,OB,obverse,3,6,3,True,827.7,26,712,1203,935,230.4,-7.18,1324,1913,553,0,6
samples/ebl/HS.2067/lines/HS.2067__obverse__L04.jpg,HS.2067__obverse,HS.2067,OB,obverse,4,6,4,True,1042.3,11,935,1324,1155,230.4,-7.18,1324,1913,553,0,13
samples/ebl/HS.2067/lines/HS.2067__obverse__L05.jpg,HS.2067__obverse,HS.2067,OB,obverse,5,6,5,True,1269.0,211,1155,1324,1387,230.4,-7.18,1324,1913,553,0,5
samples/ebl/HS.2067/lines/HS.2067__obverse__L06.jpg,HS.2067__obverse,HS.2067,OB,obverse,6,6,6,True,1505.9,5,1387,1277,1731,230.4,-7.18,1324,1913,553,0,10
samples/ebl/HS.2067/lines/HS.2067__reverse__L01.jpg,HS.2067__reverse,HS.2067,OB,reverse,1,10,1,True,223.6,65,48,1206,314,166.8,-5.98,1206,1866,612,2406,10
samples/ebl/HS.2067/lines/HS.2067__reverse__L02.jpg,HS.2067__reverse,HS.2067,OB,reverse,2,10,2,True,405.9,30,314,1206,471,166.8,-5.98,1206,1866,612,2406,6
samples/ebl/HS.2067/lines/HS.2067__reverse__L03.jpg,HS.2067__reverse,HS.2067,OB,reverse,3,10,3,True,537.8,120,471,1206,635,166.8,-5.98,1206,1866,612,2406,6
samples/ebl/HS.2067/lines/HS.2067__reverse__L04.jpg,HS.2067__reverse,HS.2067,OB,reverse,4,10,4,True,732.8,0,635,1206,826,166.8,-5.98,1206,1866,612,2406,15
samples/ebl/HS.2067/lines/HS.2067__reverse__L05.jpg,HS.2067__reverse,HS.2067,OB,reverse,5,10,5,True,919.3,0,826,1206,1002,166.8,-5.98,1206,1866,612,2406,6
samples/ebl/HS.2067/lines/HS.2067__reverse__L06.jpg,HS.2067__reverse,HS.2067,OB,reverse,6,10,6,True,1086.1,0,1002,1024,1130,166.8,-5.98,1206,1866,612,2406,8
samples/ebl/HS.2067/lines/HS.2067__reverse__L07.jpg,HS.2067__reverse,HS.2067,OB,reverse,7,10,7,True,1175.6,173,1130,1158,1242,166.8,-5.98,1206,1866,612,2406,4
samples/ebl/HS.2067/lines/HS.2067__reverse__L08.jpg,HS.2067__reverse,HS.2067,OB,reverse,8,10,8,True,1309.1,115,1242,1129,1424,166.8,-5.98,1206,1866,612,2406,5
samples/ebl/HS.2067/lines/HS.2067__reverse__L09.jpg,HS.2067__reverse,HS.2067,OB,reverse,9,10,9,True,1539.8,147,1424,1163,1601,166.8,-5.98,1206,1866,612,2406,6
samples/ebl/HS.2067/lines/HS.2067__reverse__L10.jpg,HS.2067__reverse,HS.2067,OB,reverse,10,10,10,True,1663.7,0,1601,1129,1801,166.8,-5.98,1206,1866,612,2406,6
samples/ebl/HS.2067/lines/HS.2067__top__L01.jpg,HS.2067__top,HS.2067,OB,top,1,1,11,True,170.1,210,94,1114,245,148.2,-2.12,1398,822,516,4098,7
samples/ebl/HS.2371/lines/HS.2371__obverse__L01.jpg,HS.2371__obverse,HS.2371,OB,obverse,1,24,1,True,96.7,229,35,1360,137,87.1,-2.91,1360,2278,661,61,5
samples/ebl/HS.2371/lines/HS.2371__obverse__L02.jpg,HS.2371__obverse,HS.2371,OB,obverse,2,24,2,True,178.4,221,137,1353,218,87.1,-2.91,1360,2278,661,61,6
samples/ebl/HS.2371/lines/HS.2371__obverse__L03.jpg,HS.2371__obverse,HS.2371,OB,obverse,3,24,3,True,257.8,100,218,1300,295,87.1,-2.91,1360,2278,661,61,6
samples/ebl/HS.2371/lines/HS.2371__obverse__L04.jpg,HS.2371__obverse,HS.2371,OB,obverse,4,24,4,True,334.1,82,295,1315,377,87.1,-2.91,1360,2278,661,61,7
samples/ebl/HS.2371/lines/HS.2371__obverse__L05.jpg,HS.2371__obverse,HS.2371,OB,obverse,5,24,5,True,421.2,83,377,1327,469,87.1,-2.91,1360,2278,661,61,8
samples/ebl/HS.2371/lines/HS.2371__obverse__L06.jpg,HS.2371__obverse,HS.2371,OB,obverse,6,24,6,True,518.4,72,469,934,558,87.1,-2.91,1360,2278,661,61,5
samples/ebl/HS.2371/lines/HS.2371__obverse__L07.jpg,HS.2371__obverse,HS.2371,OB,obverse,7,24,7,True,598.3,57,558,910,633,87.1,-2.91,1360,2278,661,61,5
samples/ebl/HS.2371/lines/HS.2371__obverse__L08.jpg,HS.2371__obverse,HS.2371,OB,obverse,8,24,8,True,668.4,75,633,854,710,87.1,-2.91,1360,2278,661,61,3
samples/ebl/HS.2371/lines/HS.2371__obverse__L09.jpg,HS.2371__obverse,HS.2371,OB,obverse,9,24,9,True,753.0,59,710,927,796,87.1,-2.91,1360,2278,661,61,5
samples/ebl/HS.2371/lines/HS.2371__obverse__L10.jpg,HS.2371__obverse,HS.2371,OB,obverse,10,24,10,True,840.1,471,796,879,886,87.1,-2.91,1360,2278,661,61,3
samples/ebl/HS.2371/lines/HS.2371__obverse__L11.jpg,HS.2371__obverse,HS.2371,OB,obverse,11,24,11,True,932.1,0,886,1360,978,87.1,-2.91,1360,2278,661,61,0
samples/ebl/HS.2371/lines/HS.2371__obverse__L12.jpg,HS.2371__obverse,HS.2371,OB,obverse,12,24,12,True,1024.1,49,978,956,1062,87.1,-2.91,1360,2278,661,61,5
samples/ebl/HS.2371/lines/HS.2371__obverse__L13.jpg,HS.2371__obverse,HS.2371,OB,obverse,13,24,13,True,1101.6,190,1062,725,1145,87.1,-2.91,1360,2278,661,61,2
samples/ebl/HS.2371/lines/HS.2371__obverse__L14.jpg,HS.2371__obverse,HS.2371,OB,obverse,14,24,14,True,1190.1,0,1145,1360,1234,87.1,-2.91,1360,2278,661,61,0
samples/ebl/HS.2371/lines/HS.2371__obverse__L15.jpg,HS.2371__obverse,HS.2371,OB,obverse,15,24,15,True,1278.6,265,1234,444,1319,87.1,-2.91,1360,2278,661,61,1
samples/ebl/HS.2371/lines/HS.2371__obverse__L16.jpg,HS.2371__obverse,HS.2371,OB,obverse,16,24,16,True,1359.4,158,1319,746,1407,87.1,-2.91,1360,2278,661,61,2
samples/ebl/HS.2371/lines/HS.2371__obverse__L17.jpg,HS.2371__obverse,HS.2371,OB,obverse,17,24,17,True,1455.3,25,1407,382,1494,87.1,-2.91,1360,2278,661,61,2
samples/ebl/HS.2371/lines/HS.2371__obverse__L18.jpg,HS.2371__obverse,HS.2371,OB,obverse,18,24,18,True,1534.6,23,1494,1039,1581,87.1,-2.91,1360,2278,661,61,5
samples/ebl/HS.2371/lines/HS.2371__obverse__L19.jpg,HS.2371__obverse,HS.2371,OB,obverse,19,24,19,True,1628.2,22,1581,865,1667,87.1,-2.91,1360,2278,661,61,4
samples/ebl/HS.2371/lines/HS.2371__obverse__L20.jpg,HS.2371__obverse,HS.2371,OB,obverse,20,24,20,True,1707.6,0,1667,1208,1755,87.1,-2.91,1360,2278,661,61,5
samples/ebl/HS.2371/lines/HS.2371__obverse__L21.jpg,HS.2371__obverse,HS.2371,OB,obverse,21,24,21,True,1804.0,0,1755,1141,1853,87.1,-2.91,1360,2278,661,61,6
samples/ebl/HS.2371/lines/HS.2371__obverse__L22.jpg,HS.2371__obverse,HS.2371,OB,obverse,22,24,22,True,1903.8,0,1853,1249,1952,87.1,-2.91,1360,2278,661,61,6
samples/ebl/HS.2371/lines/HS.2371__obverse__L23.jpg,HS.2371__obverse,HS.2371,OB,obverse,23,24,23,True,2000.6,0,1952,1231,2051,87.1,-2.91,1360,2278,661,61,4
samples/ebl/HS.2371/lines/HS.2371__obverse__L24.jpg,HS.2371__obverse,HS.2371,OB,obverse,24,24,24,True,2101.7,0,2051,1241,2179,87.1,-2.91,1360,2278,661,61,5
samples/ebl/HS.2371/lines/HS.2371__reverse__L01.jpg,HS.2371__reverse,HS.2371,OB,reverse,1,9,1,True,134.5,101,63,966,184,98.4,-4.5,1384,2344,655,3013,4
samples/ebl/HS.2371/lines/HS.2371__reverse__L02.jpg,HS.2371__reverse,HS.2371,OB,reverse,2,9,2,True,233.9,75,184,984,279,98.4,-4.5,1384,2344,655,3013,4
samples/ebl/HS.2371/lines/HS.2371__reverse__L03.jpg,HS.2371__reverse,HS.2371,OB,reverse,3,9,3,True,324.1,65,279,1328,373,98.4,-4.5,1384,2344,655,3013,7
samples/ebl/HS.2371/lines/HS.2371__reverse__L04.jpg,HS.2371__reverse,HS.2371,OB,reverse,4,9,4,True,421.9,68,373,1324,466,98.4,-4.5,1384,2344,655,3013,6
samples/ebl/HS.2371/lines/HS.2371__reverse__L05.jpg,HS.2371__reverse,HS.2371,OB,reverse,5,9,5,True,510.3,218,466,1314,556,98.4,-4.5,1384,2344,655,3013,5
samples/ebl/HS.2371/lines/HS.2371__reverse__L06.jpg,HS.2371__reverse,HS.2371,OB,reverse,6,9,6,True,603.0,208,556,1298,652,98.4,-4.5,1384,2344,655,3013,9
samples/ebl/HS.2371/lines/HS.2371__reverse__L07.jpg,HS.2371__reverse,HS.2371,OB,reverse,7,9,7,True,702.0,169,652,1318,1321,98.4,-4.5,1384,2344,655,3013,5
samples/ebl/HS.2371/lines/HS.2371__reverse__L08.jpg,HS.2371__reverse,HS.2371,OB,reverse,8,9,8,True,1957.6,0,1321,1274,2025,98.4,-4.5,1384,2344,655,3013,5
samples/ebl/HS.2371/lines/HS.2371__reverse__L09.jpg,HS.2371__reverse,HS.2371,OB,reverse,9,9,9,True,2093.4,57,2025,1255,2199,98.4,-4.5,1384,2344,655,3013,8
samples/ebl/K.2712/lines/K.2712__obverse__L01.jpg,K.2712__obverse,K.2712,NA,obverse,1,33,1,True,169.9,314,101,601,226,83.6,-4.03,2532,3006,1428,414,2
samples/ebl/K.2712/lines/K.2712__obverse__L02.jpg,K.2712__obverse,K.2712,NA,obverse,2,33,2,True,293.1,521,226,2383,346,83.6,-4.03,2532,3006,1428,414,2
samples/ebl/K.2712/lines/K.2712__obverse__L03.jpg,K.2712__obverse,K.2712,NA,obverse,3,33,3,True,398.9,374,346,662,440,83.6,-4.03,2532,3006,1428,414,2
samples/ebl/K.2712/lines/K.2712__obverse__L04.jpg,K.2712__obverse,K.2712,NA,obverse,4,33,4,True,482.5,120,440,2532,524,83.6,-4.03,2532,3006,1428,414,0
samples/ebl/K.2712/lines/K.2712__obverse__L05.jpg,K.2712__obverse,K.2712,NA,obverse,5,33,5,True,566.0,120,524,2532,607,83.6,-4.03,2532,3006,1428,414,0
samples/ebl/K.2712/lines/K.2712__obverse__L06.jpg,K.2712__obverse,K.2712,NA,obverse,6,33,6,True,649.6,268,607,2532,697,83.6,-4.03,2532,3006,1428,414,3
samples/ebl/K.2712/lines/K.2712__obverse__L07.jpg,K.2712__obverse,K.2712,NA,obverse,7,33,7,True,744.6,120,697,2532,792,83.6,-4.03,2532,3006,1428,414,0
samples/ebl/K.2712/lines/K.2712__obverse__L08.jpg,K.2712__obverse,K.2712,NA,obverse,8,33,8,True,839.6,332,792,519,887,83.6,-4.03,2532,3006,1428,414,1
samples/ebl/K.2712/lines/K.2712__obverse__L09.jpg,K.2712__obverse,K.2712,NA,obverse,9,33,9,True,935.9,128,887,2498,981,83.6,-4.03,2532,3006,1428,414,4
samples/ebl/K.2712/lines/K.2712__obverse__L10.jpg,K.2712__obverse,K.2712,NA,obverse,10,33,10,True,1027.9,474,981,662,1067,83.6,-4.03,2532,3006,1428,414,1
samples/ebl/K.2712/lines/K.2712__obverse__L11.jpg,K.2712__obverse,K.2712,NA,obverse,11,33,11,True,1107.8,259,1067,447,1157,83.6,-4.03,2532,3006,1428,414,1
samples/ebl/K.2712/lines/K.2712__obverse__L12.jpg,K.2712__obverse,K.2712,NA,obverse,12,33,12,True,1238.0,507,1157,2460,1283,83.6,-4.03,2532,3006,1428,414,3
samples/ebl/K.2712/lines/K.2712__obverse__L13.jpg,K.2712__obverse,K.2712,NA,obverse,13,33,13,True,1329.6,409,1283,2454,1367,83.6,-4.03,2532,3006,1428,414,8
samples/ebl/K.2712/lines/K.2712__obverse__L14.jpg,K.2712__obverse,K.2712,NA,obverse,14,33,14,True,1406.3,302,1367,1095,1448,83.6,-4.03,2532,3006,1428,414,5
samples/ebl/K.2712/lines/K.2712__obverse__L15.jpg,K.2712__obverse,K.2712,NA,obverse,15,33,15,True,1491.5,241,1448,862,1543,83.6,-4.03,2532,3006,1428,414,3
samples/ebl/K.2712/lines/K.2712__obverse__L16.jpg,K.2712__obverse,K.2712,NA,obverse,16,33,16,True,1594.8,173,1543,2181,1642,83.6,-4.03,2532,3006,1428,414,9
samples/ebl/K.2712/lines/K.2712__obverse__L17.jpg,K.2712__obverse,K.2712,NA,obverse,17,33,17,True,1690.7,373,1642,1483,1730,83.6,-4.03,2532,3006,1428,414,7
samples/ebl/K.2712/lines/K.2712__obverse__L18.jpg,K.2712__obverse,K.2712,NA,obverse,18,33,18,True,1770.1,364,1730,726,1808,83.6,-4.03,2532,3006,1428,414,2
samples/ebl/K.2712/lines/K.2712__obverse__L19.jpg,K.2712__obverse,K.2712,NA,obverse,19,33,19,True,1846.3,217,1808,1016,1877,83.6,-4.03,2532,3006,1428,414,2
samples/ebl/K.2712/lines/K.2712__obverse__L20.jpg,K.2712__obverse,K.2712,NA,obverse,20,33,20,True,1908.1,1881,1877,2274,1923,83.6,-4.03,2532,3006,1428,414,2
samples/ebl/K.2712/lines/K.2712__obverse__L21.jpg,K.2712__obverse,K.2712,NA,obverse,21,33,21,True,1938.0,549,1923,1451,1970,83.6,-4.03,2532,3006,1428,414,4
samples/ebl/K.2712/lines/K.2712__obverse__L22.jpg,K.2712__obverse,K.2712,NA,obverse,22,33,22,True,2002.5,959,1970,2007,2026,83.6,-4.03,2532,3006,1428,414,4
samples/ebl/K.2712/lines/K.2712__obverse__L23.jpg,K.2712__obverse,K.2712,NA,obverse,23,33,23,True,2049.8,734,2026,2399,2092,83.6,-4.03,2532,3006,1428,414,5
samples/ebl/K.2712/lines/K.2712__obverse__L24.jpg,K.2712__obverse,K.2712,NA,obverse,24,33,24,True,2135.9,317,2092,1363,2164,83.6,-4.03,2532,3006,1428,414,2
samples/ebl/K.2712/lines/K.2712__obverse__L25.jpg,K.2712__obverse,K.2712,NA,obverse,25,33,25,True,2193.5,200,2164,511,2213,83.6,-4.03,2532,3006,1428,414,2
samples/ebl/K.2712/lines/K.2712__obverse__L26.jpg,K.2712__obverse,K.2712,NA,obverse,26,33,26,True,2232.5,1168,2213,2410,2251,83.6,-4.03,2532,3006,1428,414,4
samples/ebl/K.2712/lines/K.2712__obverse__L27.jpg,K.2712__obverse,K.2712,NA,obverse,27,33,27,True,2270.4,688,2251,2211,2323,83.6,-4.03,2532,3006,1428,414,4
samples/ebl/K.2712/lines/K.2712__obverse__L28.jpg,K.2712__obverse,K.2712,NA,obverse,28,33,28,True,2377.5,249,2323,1744,2455,83.6,-4.03,2532,3006,1428,414,5
samples/ebl/K.2712/lines/K.2712__obverse__L29.jpg,K.2712__obverse,K.2712,NA,obverse,29,33,29,True,2534.0,120,2455,2168,2565,83.6,-4.03,2532,3006,1428,414,4
samples/ebl/K.2712/lines/K.2712__obverse__L30.jpg,K.2712__obverse,K.2712,NA,obverse,30,33,30,True,2597.8,610,2565,2158,2648,83.6,-4.03,2532,3006,1428,414,4
samples/ebl/K.2712/lines/K.2712__obverse__L31.jpg,K.2712__obverse,K.2712,NA,obverse,31,33,31,True,2698.6,343,2648,2050,2701,83.6,-4.03,2532,3006,1428,414,2
samples/ebl/K.2712/lines/K.2712__obverse__L32.jpg,K.2712__obverse,K.2712,NA,obverse,32,33,32,True,2704.7,237,2701,425,2733,83.6,-4.03,2532,3006,1428,414,1
samples/ebl/K.2712/lines/K.2712__obverse__L33.jpg,K.2712__obverse,K.2712,NA,obverse,33,33,33,True,2762.4,389,2733,2355,2833,83.6,-4.03,2532,3006,1428,414,2
samples/ebl/K.2712/lines/K.2712__reverse__L01.jpg,K.2712__reverse,K.2712,NA,reverse,1,27,1',True,315.0,151,275,328,352,78.2,-6.23,2534,2882,1427,4691,1
samples/ebl/K.2712/lines/K.2712__reverse__L02.jpg,K.2712__reverse,K.2712,NA,reverse,2,27,2',True,419.2,143,352,2519,459,78.2,-6.23,2534,2882,1427,4691,3
samples/ebl/K.2712/lines/K.2712__reverse__L03.jpg,K.2712__reverse,K.2712,NA,reverse,3,27,3',True,500.6,130,459,1972,559,78.2,-6.23,2534,2882,1427,4691,3
samples/ebl/K.2712/lines/K.2712__reverse__L04.jpg,K.2712__reverse,K.2712,NA,reverse,4,27,4',True,617.5,1292,559,2500,666,78.2,-6.23,2534,2882,1427,4691,5
