face_id,split,status,line_no,y_face_deskewed,skew_deg,src
P333939_obverse,tune,done,6,277.0,-4.5,start
P333939_obverse,tune,done,7,335.0,-4.5,start
P333939_obverse,tune,done,8,392.0,-4.5,start
P333939_obverse,tune,done,9,448.0,-4.5,manual
P333939_obverse,tune,done,10,504.0,-4.5,manual
P333939_obverse,tune,done,11,585.0,-4.5,manual
P333942_reverse,tune,done,1,57.0,0,start
P333942_reverse,tune,done,2,98.0,0,start
P333942_reverse,tune,done,3,137.0,0,start
P333942_reverse,tune,done,4,178.0,0,start
P333942_reverse,tune,done,5,222.0,0,start
P333942_reverse,tune,done,6,255.0,0,manual
P333942_reverse,tune,done,7,311.0,0,start
P333942_reverse,tune,done,8,355.0,0,start
P333942_reverse,tune,done,9,399.0,0,start
P333942_reverse,tune,done,10,442.0,0,start
P333942_reverse,tune,done,11,486.0,0,start
P357344_reverse,test,draft,1,57.0,-5.5,start
P357344_reverse,test,draft,2,96.0,-5.5,start
P357344_reverse,test,draft,3,132.0,-5.5,start
P357344_reverse,test,draft,4,169.0,-5.5,start
P357344_reverse,test,draft,5,206.0,-5.5,start
P357344_reverse,test,draft,6,246.0,-5.5,start
P357344_reverse,test,draft,7,285.0,-5.5,start
P357344_reverse,test,draft,8,320.0,-5.5,start
P357344_reverse,test,draft,9,355.0,-5.5,start
P357344_reverse,test,draft,10,390.0,-5.5,start
P357344_reverse,test,draft,11,427.0,-5.5,start
P357344_reverse,test,draft,12,461.0,-5.5,start
P357344_reverse,test,draft,13,496.0,-5.5,start
P357347_reverse,tune,done,1,43.0,-5,start
P357347_reverse,tune,done,2,100.0,-5,start
P357347_reverse,tune,done,3,159.0,-5,start
P357347_reverse,tune,done,4,222.0,-5,start
P357347_reverse,tune,done,5,279.0,-5,manual
P357347_reverse,tune,done,6,345.0,-5,manual
P357347_reverse,tune,done,7,430.0,-5,manual
P357347_reverse,tune,done,8,492.0,-5,start
P357347_reverse,tune,done,9,550.0,-5,start
P357347_reverse,tune,done,10,587.3,-5,manual
P357395_obverse,tune,done,1,33.0,-9.5,start
P357395_obverse,tune,done,2,81.0,-9.5,start
P357395_obverse,tune,done,3,129.0,-9.5,start
P357395_obverse,tune,done,4,177.0,-9.5,start
P357395_obverse,tune,done,5,223.0,-9.5,start
P357395_obverse,tune,done,6,272.0,-9.5,start
P357395_obverse,tune,done,7,318.0,-9.5,start
P357395_obverse,tune,done,8,363.0,-9.5,start
P357395_obverse,tune,done,9,414.0,-9.5,start
P357395_obverse,tune,done,10,464.0,-9.5,start
P357395_obverse,tune,done,11,512.0,-9.5,start
P357395_obverse,tune,done,12,560.0,-9.5,start
P357396_obverse,test,done,1,15.0,6,start
P357396_obverse,test,done,2,67.0,6,start
P357396_obverse,test,done,3,119.0,6,start
P357396_obverse,test,done,4,171.0,6,start
P357396_obverse,test,done,5,225.0,6,start
P357396_obverse,test,done,6,279.0,6,start
P357396_obverse,test,done,7,334.0,6,start
P357396_obverse,test,done,8,387.0,6,start
P357396_obverse,test,done,9,441.0,6,start
P357400_obverse,test,done,1,45.0,-4.5,manual
P357400_obverse,test,done,2,106.0,-4.5,manual
P357400_obverse,test,done,3,168.0,-4.5,manual
P357400_obverse,test,done,4,232.0,-4.5,manual
P357407_obverse,test,done,1,0.0,-8.5,manual
P357407_obverse,test,done,2,89.0,-8.5,manual
P357407_obverse,test,done,3,162.0,-8.5,start
P357407_obverse,test,done,4,227.0,-8.5,start
P357407_obverse,test,done,5,289.0,-8.5,start
P357407_obverse,test,done,6,349.0,-8.5,start
P357407_obverse,test,done,7,413.0,-8.5,start
P357407_obverse,test,done,8,482.0,-8.5,start
P357407_obverse,test,done,9,546.0,-8.5,start
P357407_obverse,test,done,10,604.0,-8.5,start
P357407_obverse,test,done,11,661.0,-8.5,start
P357407_obverse,test,done,12,719.0,-8.5,start
P357407_obverse,test,done,13,781.0,-8.5,start
P357407_obverse,test,done,14,844.0,-8.5,start
P357496_reverse,tune,done,1,85.0,-5,start
P357496_reverse,tune,done,2,136.0,-5,start
P357496_reverse,tune,done,3,185.0,-5,start
P357496_reverse,tune,done,4,236.0,-5,start
P357496_reverse,tune,done,5,288.0,-5,start
P357496_reverse,tune,done,6,341.0,-5,start
P357496_reverse,tune,done,7,398.0,-5,start
P357496_reverse,tune,done,8,453.0,-5,start
P357496_reverse,tune,done,9,506.0,-5,start
P357520_reverse,test,done,1,68.0,-3.5,start
P357520_reverse,test,done,2,111.0,-3.5,start
P357520_reverse,test,done,3,157.0,-3.5,start
P357520_reverse,test,done,4,203.0,-3.5,start
P357520_reverse,test,done,5,244.0,-3.5,start
P357520_reverse,test,done,6,287.0,-3.5,start
P357520_reverse,test,done,7,327.0,-3.5,start
P357520_reverse,test,done,8,364.0,-3.5,start
P357520_reverse,test,done,9,404.0,-3.5,start
P357520_reverse,test,done,10,444.0,-3.5,start
P357545_reverse,tune,done,1,39.0,-7.5,manual
P357545_reverse,tune,done,2,97.3,-7.5,manual
P357545_reverse,tune,done,3,156.0,-7.5,manual
P357545_reverse,tune,done,4,219.0,-7.5,manual
P357545_reverse,tune,done,5,292.0,-7.5,start
P357545_reverse,tune,done,6,349.0,-7.5,start
P357545_reverse,tune,done,7,409.0,-7.5,start
P357545_reverse,tune,done,8,466.0,-7.5,start
P357545_reverse,tune,done,9,537.0,-7.5,manual
P357545_reverse,tune,done,10,582.0,-7.5,manual
P357576_obverse,test,draft,1,40.0,-6.5,start
P357576_obverse,test,draft,2,75.0,-6.5,start
P357576_obverse,test,draft,3,109.0,-6.5,start
P357576_obverse,test,draft,4,144.0,-6.5,start
P357576_obverse,test,draft,5,179.0,-6.5,start
P357576_obverse,test,draft,6,215.0,-6.5,start
P357576_obverse,test,draft,7,250.0,-6.5,start
P357576_obverse,test,draft,8,283.0,-6.5,start
P357576_obverse,test,draft,9,315.0,-6.5,start
P357576_obverse,test,draft,10,346.0,-6.5,start
P357576_obverse,test,draft,11,382.0,-6.5,start
P357576_obverse,test,draft,12,419.0,-6.5,start
P357576_obverse,test,draft,13,455.0,-6.5,start
P357576_obverse,test,draft,14,490.0,-6.5,start
P357576_obverse,test,draft,15,523.0,-6.5,start
P357577_obverse,tune,draft,1,20.0,-6,start
P357577_obverse,tune,draft,2,65.0,-6,start
P357577_obverse,tune,draft,3,111.0,-6,start
P357577_obverse,tune,draft,4,160.0,-6,start
P357577_obverse,tune,draft,5,210.0,-6,start
P357577_obverse,tune,draft,6,258.0,-6,start
P357577_obverse,tune,draft,7,304.0,-6,start
P357577_obverse,tune,draft,8,344.0,-6,start
P357577_obverse,tune,draft,9,384.0,-6,start
P357577_obverse,tune,draft,10,426.0,-6,start
P357577_obverse,tune,draft,11,467.0,-6,start
P357577_obverse,tune,draft,12,511.0,-6,start
P357577_obverse,tune,draft,13,552.0,-6,start
P357585_obverse,tune,done,1,20.0,-5,start
P357585_obverse,tune,done,2,82.0,-5,manual
P357585_obverse,tune,done,3,125.0,-5,start
P357585_obverse,tune,done,4,176.0,-5,start
P357585_obverse,tune,done,5,224.0,-5,start
P357585_obverse,tune,done,6,272.0,-5,start
P357585_obverse,tune,done,7,318.0,-5,start
P357585_obverse,tune,done,8,363.0,-5,start
P357585_obverse,tune,done,9,412.0,-5,start
P357585_obverse,tune,done,10,459.0,-5,start
P357585_obverse,tune,done,11,509.0,-5,start
P357585_obverse,tune,done,12,555.0,-5,start
P357585_obverse,tune,done,13,601.0,-5,start
P357596_obverse,test,done,1,1.0,0,manual
P357596_obverse,test,done,2,59.0,0,manual
P357596_obverse,test,done,3,112.0,0,start
P357596_obverse,test,done,4,161.0,0,manual
P357596_obverse,test,done,5,210.0,0,manual
P357596_obverse,test,done,6,271.0,0,manual
P357596_obverse,test,done,7,323.0,0,manual
P357596_obverse,test,done,8,379.0,0,start
P357596_obverse,test,done,9,429.0,0,start
P357596_obverse,test,done,10,479.0,0,start
P357596_obverse,test,done,11,525.0,0,start
P357596_obverse,test,done,12,573.0,0,start
P357597_obverse,tune,done,1,68.0,0,manual
P357597_obverse,tune,done,2,130.0,0,start
P357597_obverse,tune,done,3,184.0,0,start
P357597_obverse,tune,done,4,236.0,0,start
P357597_obverse,tune,done,5,288.0,0,start
P357597_obverse,tune,done,6,345.0,0,manual
P357597_obverse,tune,done,7,403.0,0,manual
P357597_obverse,tune,done,8,451.0,0,start
P357597_obverse,tune,done,9,504.0,0,start
P357597_obverse,tune,done,10,561.0,0,start
P357597_obverse,tune,done,11,608.0,0,manual
P357597_obverse,tune,done,12,674.0,0,start
P357597_obverse,tune,done,13,730.0,0,start
P357597_obverse,tune,done,14,783.0,0,manual
P357611_obverse,test,done,1,1.0,5.5,manual
P357611_obverse,test,done,2,56.0,5.5,manual
P357611_obverse,test,done,3,117.0,5.5,manual
P357611_obverse,test,done,4,185.0,5.5,start
P357611_obverse,test,done,5,242.0,5.5,start
P357611_obverse,test,done,6,299.0,5.5,start
P357611_obverse,test,done,7,359.0,5.5,start
P357685_reverse,test,draft,1,17.0,-4.5,start
P357685_reverse,test,draft,2,55.0,-4.5,start
P357685_reverse,test,draft,3,91.0,-4.5,start
P357685_reverse,test,draft,4,127.0,-4.5,start
P357685_reverse,test,draft,5,164.0,-4.5,start
P357685_reverse,test,draft,6,198.0,-4.5,start
P357685_reverse,test,draft,7,231.0,-4.5,start
P357685_reverse,test,draft,8,266.0,-4.5,start
P357685_reverse,test,draft,9,300.0,-4.5,start
P357685_reverse,test,draft,10,336.0,-4.5,start
P357685_reverse,test,draft,11,376.0,-4.5,start
P357685_reverse,test,draft,12,413.0,-4.5,start
P357685_reverse,test,draft,13,448.0,-4.5,start
P357767_obverse,tune,done,1,2.0,-2.5,manual
P357767_obverse,tune,done,2,64.0,-2.5,start
P357767_obverse,tune,done,3,114.0,-2.5,start
P357767_obverse,tune,done,4,161.0,-2.5,start
P357767_obverse,tune,done,5,210.0,-2.5,start
P357767_obverse,tune,done,6,261.0,-2.5,start
P357767_obverse,tune,done,7,314.0,-2.5,start
P357931_reverse,test,done,1,109.0,13.5,start
P357931_reverse,test,done,2,180.0,13.5,start
P357931_reverse,test,done,3,248.0,13.5,start
P357931_reverse,test,done,4,313.0,13.5,start
P357931_reverse,test,done,5,376.0,13.5,start
P357931_reverse,test,done,6,441.0,13.5,start
P357931_reverse,test,done,7,507.0,13.5,start
P357931_reverse,test,done,8,573.0,13.5,start
P357931_reverse,test,done,9,637.0,13.5,start
P357931_reverse,test,done,10,703.0,13.5,start
P357931_reverse,test,done,11,771.0,13.5,start
P357931_reverse,test,done,12,837.0,13.5,start
P357936_obverse,tune,done,1,49.0,0,start
P357936_obverse,tune,done,2,115.3,0,manual
P357936_obverse,tune,done,3,200.0,0,start
P357936_obverse,tune,done,4,264.9,0,manual
P357936_obverse,tune,done,5,369.6,0,manual
P357936_obverse,tune,done,6,455.9,0,manual
P357936_obverse,tune,done,7,539.0,0,manual
P357936_obverse,tune,done,8,627.6,0,manual
P357936_obverse,tune,done,9,714.0,0,start
P357936_obverse,tune,done,10,791.0,0,start
P357936_obverse,tune,done,11,871.3,0,manual
P357936_obverse,tune,done,12,949.6,0,manual
P357943_obverse,tune,done,1,0.0,0,manual
P357943_obverse,tune,done,2,74.0,0,manual
P357943_obverse,tune,done,3,160.0,0,manual
P357943_obverse,tune,done,4,261.0,0,start
P357943_obverse,tune,done,5,339.0,0,start
P357943_obverse,tune,done,6,416.0,0,start
P357943_obverse,tune,done,7,499.0,0,start
P357943_obverse,tune,done,8,579.0,0,start
P357943_obverse,tune,done,9,662.0,0,start
P357943_obverse,tune,done,10,744.0,0,start
P357977_reverse,tune,done,1,55.0,-7,manual
P357977_reverse,tune,done,2,161.0,-7,manual
P357977_reverse,tune,done,3,212.0,-7,manual
P357977_reverse,tune,done,4,271.0,-7,manual
P358199_reverse,test,done,1,9.3,2,manual
P358199_reverse,test,done,2,86.0,2,manual
P358199_reverse,test,done,3,147.0,2,manual
P358199_reverse,test,done,4,220.0,2,manual
P358199_reverse,test,done,5,280.0,2,manual
P358199_reverse,test,done,6,359.0,2,start
P358199_reverse,test,done,7,426.0,2,manual
P358199_reverse,test,done,8,504.0,2,manual
P358199_reverse,test,done,9,560.3,2,manual
P358200_obverse,tune,done,1,14.0,-2.5,start
P358200_obverse,tune,done,2,80.0,-2.5,start
P358200_obverse,tune,done,3,145.0,-2.5,start
P358200_obverse,tune,done,4,209.0,-2.5,start
P358200_obverse,tune,done,5,278.0,-2.5,start
P358200_obverse,tune,done,6,350.0,-2.5,start
P358200_obverse,tune,done,7,411.0,-2.5,start
P358200_reverse,test,done,1,69.0,-3,manual
P358200_reverse,test,done,2,148.0,-3,start
P358200_reverse,test,done,3,207.0,-3,start
P358200_reverse,test,done,4,265.0,-3,start
P358200_reverse,test,done,5,330.0,-3,manual
P358200_reverse,test,done,6,411.0,-3,start
P358213_reverse,test,done,1,18.0,-12,start
P358213_reverse,test,done,2,66.0,-12,start
P358213_reverse,test,done,3,116.0,-12,start
P358213_reverse,test,done,4,165.0,-12,start
P358213_reverse,test,done,5,213.0,-12,start
P358213_reverse,test,done,6,261.0,-12,start
P358213_reverse,test,done,7,312.0,-12,start
P358213_reverse,test,done,8,364.0,-12,start
P358213_reverse,test,done,9,414.0,-12,start
P358213_reverse,test,done,10,464.0,-12,start
P358216_obverse,tune,done,1,50.0,-8.5,manual
P358216_obverse,tune,done,2,108.0,-8.5,manual
P358216_obverse,tune,done,3,161.3,-8.5,manual
P358216_obverse,tune,done,4,228.0,-8.5,start
P358216_obverse,tune,done,5,294.0,-8.5,start
P358216_obverse,tune,done,6,359.0,-8.5,start
P358216_obverse,tune,done,7,418.0,-8.5,manual
P358216_obverse,tune,done,8,473.0,-8.5,manual
P358216_obverse,tune,done,9,549.3,-8.5,manual
P358241_reverse,test,done,1,46.0,-1.5,manual
P358241_reverse,test,done,2,112.0,-1.5,manual
P358241_reverse,test,done,3,175.0,-1.5,manual
P358241_reverse,test,done,4,237.0,-1.5,start
P358241_reverse,test,done,5,294.0,-1.5,manual
P358241_reverse,test,done,6,378.0,-1.5,manual
P358241_reverse,test,done,7,433.0,-1.5,manual
P358246_obverse,test,done,1,17.0,-6,start
P358246_obverse,test,done,2,72.0,-6,start
P358246_obverse,test,done,3,122.0,-6,start
P358246_obverse,test,done,4,175.0,-6,start
P358246_obverse,test,done,5,228.0,-6,start
P358246_obverse,test,done,6,280.0,-6,start
P358246_obverse,test,done,7,335.0,-6,start
P358246_obverse,test,done,8,389.0,-6,start
P358246_obverse,test,done,9,444.0,-6,start
P358246_obverse,test,done,10,494.0,-6,start
P358252_obverse,test,done,1,17.0,-1.5,start
P358252_obverse,test,done,2,72.0,-1.5,start
P358252_obverse,test,done,3,125.0,-1.5,start
P358252_obverse,test,done,4,179.0,-1.5,start
P358252_obverse,test,done,5,234.0,-1.5,start
P358252_obverse,test,done,6,286.0,-1.5,start
P358252_obverse,test,done,7,336.0,-1.5,start
P358265_obverse,test,done,1,22.0,0,start
P358265_obverse,test,done,2,89.0,0,start
P358265_obverse,test,done,3,157.0,0,start
P358265_obverse,test,done,4,223.0,0,start
P358265_obverse,test,done,5,288.0,0,start
P358265_obverse,test,done,6,350.0,0,start
P358267_reverse,tune,done,1,99.0,-2,manual
P358271_obverse,tune,done,1,0.0,-4,manual
P358271_obverse,tune,done,2,82.0,-4,start
P358271_obverse,tune,done,3,147.0,-4,start
P358271_obverse,tune,done,4,207.0,-4,start
P358271_obverse,tune,done,5,265.0,-4,start
P358445_reverse,tune,done,1,76.0,-1.5,manual
P358445_reverse,tune,done,2,133.0,-1.5,manual
P358445_reverse,tune,done,3,193.0,-1.5,manual
P358445_reverse,tune,done,4,258.0,-1.5,manual
P358445_reverse,tune,done,5,310.0,-1.5,manual
P358445_reverse,tune,done,6,373.0,-1.5,manual
P358521_obverse,test,done,1,26.0,-1.5,start
P358521_obverse,test,done,2,75.0,-1.5,start
P358521_obverse,test,done,3,123.0,-1.5,start
P358521_obverse,test,done,4,169.0,-1.5,start
P358521_obverse,test,done,5,204.3,-1.5,manual
P358521_obverse,test,done,6,243.3,-1.5,manual
P358521_obverse,test,done,7,278.0,-1.5,manual
P358521_obverse,test,done,8,314.0,-1.5,manual
P358521_obverse,test,done,9,350.0,-1.5,manual
P358521_obverse,test,done,10,391.0,-1.5,manual
P358521_obverse,test,done,11,422.0,-1.5,manual
P358521_obverse,test,done,12,467.0,-1.5,start
P359044_obverse,tune,done,1,73.0,1.5,manual
P359044_obverse,tune,done,2,155.0,1.5,manual
P359044_obverse,tune,done,3,207.0,1.5,manual
P359044_obverse,tune,done,4,252.0,1.5,manual
P359044_obverse,tune,done,5,301.0,1.5,manual
P359044_obverse,tune,done,6,359.0,1.5,manual
P359044_obverse,tune,done,7,415.0,1.5,manual
P359044_obverse,tune,done,8,478.0,1.5,manual
P359044_obverse,tune,done,9,536.0,1.5,manual
P359044_obverse,tune,done,10,603.0,1.5,manual
P359063_reverse,tune,done,1,589.0,6.5,manual
P359063_reverse,tune,done,2,655.0,6.5,manual
P359063_reverse,tune,done,3,832.0,6.5,manual
P359063_reverse,tune,done,4,906.0,6.5,manual
P359063_reverse,tune,done,5,982.3,6.5,manual
P359063_reverse,tune,done,6,1057.0,6.5,manual
P359063_reverse,tune,done,7,1116.0,6.5,manual
P359063_reverse,tune,done,8,1185.0,6.5,manual
P359066_obverse,test,done,1,22.0,-2.5,manual
P359066_obverse,test,done,2,77.0,-2.5,start
P359066_obverse,test,done,3,131.0,-2.5,start
P359066_obverse,test,done,4,185.0,-2.5,start
P359066_obverse,test,done,5,240.0,-2.5,start
P359066_obverse,test,done,6,297.0,-2.5,start
P359066_obverse,test,done,7,355.0,-2.5,start
P359066_obverse,test,done,8,412.3,-2.5,manual
P359066_obverse,test,done,9,468.0,-2.5,start
P359066_obverse,test,done,10,522.0,-2.5,manual
P359066_obverse,test,done,11,582.0,-2.5,start
P359066_obverse,test,done,12,635.0,-2.5,manual
P359066_obverse,test,done,13,693.0,-2.5,manual
P359066_obverse,test,done,14,745.0,-2.5,manual
P359066_obverse,test,done,15,792.0,-2.5,manual
P359066_obverse,test,done,16,857.0,-2.5,manual
P359066_obverse,test,done,17,915.0,-2.5,manual
P359066_obverse,test,done,18,971.0,-2.5,manual
P359066_obverse,test,done,19,1028.0,-2.5,manual
P359066_obverse,test,done,20,1072.0,-2.5,manual
P359066_obverse,test,done,21,1116.0,-2.5,manual
P359066_obverse,test,done,22,1159.0,-2.5,manual
P359071_reverse,test,done,1,195.3,8.5,manual
P359071_reverse,test,done,2,262.3,8.5,manual
P359071_reverse,test,done,3,307.3,8.5,manual
P359077_reverse,test,done,1,30.0,-4,manual
P359077_reverse,test,done,2,115.0,-4,manual
P359077_reverse,test,done,3,196.0,-4,start
P359077_reverse,test,done,4,264.0,-4,manual
P359077_reverse,test,done,5,362.0,-4,start
P359077_reverse,test,done,6,443.0,-4,start
P359077_reverse,test,done,7,509.0,-4,manual
P359077_reverse,test,done,8,585.0,-4,manual
P359077_reverse,test,done,9,662.0,-4,manual
P359077_reverse,test,done,10,751.0,-4,start
P359077_reverse,test,done,11,828.0,-4,start
P359077_reverse,test,done,12,901.0,-4,start
P359077_reverse,test,done,13,1000.0,-4,manual
P359077_reverse,test,done,14,1102.0,-4,manual
P359089_obverse,tune,done,1,4.3,-1,manual
P359089_obverse,tune,done,2,109.1,-1,manual
P359089_obverse,tune,done,3,215.3,-1,manual
P359089_obverse,tune,done,4,325.3,-1,manual
P359089_obverse,tune,done,5,453.9,-1,manual
P359089_obverse,tune,done,6,573.7,-1,manual
P359089_obverse,tune,done,7,708.4,-1,manual
P359089_obverse,tune,done,8,845.1,-1,manual
P359089_obverse,tune,done,9,988.4,-1,manual
P359089_obverse,tune,done,10,1104.5,-1,manual
P359095_obverse,test,done,1,28.0,-4,start
P359095_obverse,test,done,2,107.9,-4,start
P359095_obverse,test,done,3,186.0,-4,start
P359095_obverse,test,done,4,252.9,-4,manual
P359095_obverse,test,done,5,324.4,-4,manual
P359095_obverse,test,done,6,402.6,-4,manual
P359095_obverse,test,done,7,485.9,-4,manual
P359095_obverse,test,done,8,584.0,-4,start
P359095_obverse,test,done,9,676.0,-4,start
P359095_obverse,test,done,10,757.0,-4,start
P359095_obverse,test,done,11,830.0,-4,start
P359095_obverse,test,done,12,927.4,-4,manual
P359095_obverse,test,done,13,1006.7,-4,manual
P359095_obverse,test,done,14,1112.1,-4,manual
P359100_reverse,tune,done,1,21.5,-4.5,manual
P359100_reverse,tune,done,2,138.0,-4.5,start
P359100_reverse,tune,done,3,233.0,-4.5,start
P359100_reverse,tune,done,4,332.0,-4.5,start
P359100_reverse,tune,done,5,431.0,-4.5,start
P359100_reverse,tune,done,6,533.0,-4.5,start
P359100_reverse,tune,done,7,621.5,-4.5,manual
P359100_reverse,tune,done,8,732.0,-4.5,start
P359100_reverse,tune,done,9,826.0,-4.5,start
P359100_reverse,tune,done,10,917.7,-4.5,manual
P359100_reverse,tune,done,11,1011.7,-4.5,manual
P359100_reverse,tune,done,12,1128.0,-4.5,start
P359106_obverse,tune,done,1,149.1,-10.5,manual
P359106_obverse,tune,done,2,283.9,-10.5,manual
P359106_obverse,tune,done,3,415.5,-10.5,manual
P359106_obverse,tune,done,4,539.2,-10.5,manual
P359106_obverse,tune,done,5,681.0,-10.5,start
P359106_obverse,tune,done,6,791.9,-10.5,manual
P359106_obverse,tune,done,7,923.7,-10.5,manual
P359106_obverse,tune,done,8,1045.8,-10.5,manual
P359120_reverse,test,done,1,124.0,-6,manual
P359120_reverse,test,done,2,240.2,-6,manual
P359120_reverse,test,done,3,396.1,-6,start
P359120_reverse,test,done,4,543.0,-6,start
P359120_reverse,test,done,5,684.5,-6,manual
P359120_reverse,test,done,6,851.0,-6,start
P359120_reverse,test,done,7,968.0,-6,manual
P359120_reverse,test,done,8,1093.9,-6,manual
P359125_reverse,tune,done,1,78.0,-5.5,start
P359125_reverse,tune,done,2,134.0,-5.5,start
P359125_reverse,tune,done,3,202.0,-5.5,manual
P359125_reverse,tune,done,4,254.0,-5.5,manual
P359125_reverse,tune,done,5,341.0,-5.5,manual
P359125_reverse,tune,done,6,410.0,-5.5,start
P359125_reverse,tune,done,7,469.0,-5.5,start
P359125_reverse,tune,done,8,538.0,-5.5,manual
P359125_reverse,tune,done,9,609.0,-5.5,manual
P359125_reverse,tune,done,10,681.0,-5.5,start
P359125_reverse,tune,done,11,755.0,-5.5,manual
P359125_reverse,tune,done,12,807.0,-5.5,manual
P359125_reverse,tune,done,13,887.0,-5.5,manual
P359125_reverse,tune,done,14,963.0,-5.5,start
P359125_reverse,tune,done,15,1033.0,-5.5,manual
P359137_reverse,tune,done,1,152.5,9,manual
P359137_reverse,tune,done,2,328.5,9,manual
P359137_reverse,tune,done,3,477.0,9,start
P359137_reverse,tune,done,4,640.0,9,start
P359137_reverse,tune,done,5,759.9,9,manual
P359137_reverse,tune,done,6,899.1,9,manual
P359137_reverse,tune,done,7,993.6,9,manual
P359158_reverse,test,done,1,144.3,13.5,manual
P359158_reverse,test,done,2,261.3,13.5,manual
P359167_reverse,tune,done,1,86.3,-2.5,manual
P359167_reverse,tune,done,2,189.3,-2.5,manual
P359167_reverse,tune,done,3,264.3,-2.5,manual
P359171_reverse,test,done,1,148.2,0,manual
P359171_reverse,test,done,2,264.1,0,manual
P359171_reverse,test,done,3,378.0,0,manual
P359171_reverse,test,done,4,486.1,0,manual
P359171_reverse,test,done,5,591.3,0,manual
P359174_reverse,test,done,1,86.5,-3,manual
P359174_reverse,test,done,2,187.9,-3,manual
P359174_reverse,test,done,3,304.5,-3,manual
P359174_reverse,test,done,4,417.0,-3,manual
P359174_reverse,test,done,5,518.6,-3,manual
P359174_reverse,test,done,6,626.0,-3,manual
P359174_reverse,test,done,7,728.4,-3,manual
P359174_reverse,test,done,8,825.1,-3,manual
P359174_reverse,test,done,9,923.3,-3,manual
P359174_reverse,test,done,10,1029.0,-3,manual
P359179_reverse,tune,done,1,178.8,-8,manual
P359179_reverse,tune,done,2,341.8,-8,manual
P359179_reverse,tune,done,3,477.2,-8,manual
P359179_reverse,tune,done,4,616.2,-8,manual
P359179_reverse,tune,done,5,758.0,-8,start
P359179_reverse,tune,done,6,885.0,-8,start
P359180_reverse,test,done,1,176.2,9,manual
P359180_reverse,test,done,2,291.5,9,manual
P359180_reverse,test,done,3,378.0,9,start
P359180_reverse,test,done,4,454.0,9,start
P359180_reverse,test,done,5,533.1,9,start
P359180_reverse,test,done,6,615.0,9,start
P359180_reverse,test,done,7,712.9,9,manual
P359180_reverse,test,done,8,809.5,9,manual
P359180_reverse,test,done,9,904.1,9,manual
P359180_reverse,test,done,10,997.0,9,start
P359180_reverse,test,done,11,1073.9,9,start
P359232_reverse,test,done,1,159.4,0.5,manual
