face,split,bucket
HS.2016__bottom,test,OB/lo
HS.2016__obverse,tune,OB/hi
HS.2017__obverse,tune,OB/mid
HS.2017__reverse,test,OB/mid
HS.2017__top,test,OB/lo
HS.2018__obverse,test,OB/mid
HS.2018__reverse,test,OB/mid
HS.2018__top,tune,OB/lo
HS.2019__obverse,tune,OB/mid
HS.2019__reverse,test,OB/hi
HS.2019__top,test,OB/hi
HS.2020__obverse,test,OB/hi
HS.2020__reverse,tune,OB/mid
HS.2020__top,test,OB/lo
HS.2021__reverse,test,OB/mid
HS.2022__obverse,test,OB/hi
HS.2022__reverse,tune,OB/hi
HS.2022__top,test,OB/lo
HS.2023__obverse,test,OB/mid
HS.2023__reverse,tune,OB/mid
HS.2023__top,test,OB/lo
HS.2025__obverse,test,OB/mid
HS.2025__reverse,tune,OB/hi
HS.2026__obverse,tune,OB/mid
HS.2026__reverse,tune,OB/hi
HS.2027__obverse,test,OB/mid
HS.2027__reverse,tune,OB/hi
HS.2027__top,tune,OB/lo
HS.2028__obverse,test,OB/mid
HS.2028__reverse,tune,OB/mid
HS.2030__obverse,test,OB/mid
HS.2030__reverse,test,OB/mid
HS.2030__top,test,OB/mid
HS.2031__obverse,tune,OB/mid
HS.2031__reverse,test,OB/mid
HS.2032__obverse,test,OB/mid
HS.2032__reverse,test,OB/lo
HS.2033__obverse,test,OB/mid
HS.2033__reverse,test,OB/hi
HS.2033__top,test,OB/lo
HS.2034__obverse,test,OB/mid
HS.2034__reverse,test,OB/hi
HS.2034__top,test,OB/lo
HS.2035__obverse,tune,OB/hi
HS.2035__reverse,test,OB/hi
HS.2035__top,tune,OB/lo
HS.2036__obverse,test,OB/mid
HS.2036__reverse,tune,OB/mid
HS.2036__top,test,OB/lo
HS.2037__obverse,test,OB/hi
HS.2037__reverse,tune,OB/hi
HS.2038__obverse,tune,OB/mid
HS.2038__reverse,tune,OB/lo
HS.2039__obverse,test,OB/mid
HS.2039__reverse,test,OB/mid
HS.2040__obverse,tune,OB/mid
HS.2040__reverse,test,OB/mid
HS.2041__obverse,tune,OB/hi
HS.2041__reverse,tune,OB/hi
HS.2041__top,tune,OB/lo
HS.2042__obverse,test,OB/mid
HS.2042__reverse,test,OB/mid
HS.2043__obverse,tune,OB/hi
HS.2043__reverse,test,OB/mid
HS.2044__obverse,tune,OB/hi
HS.2044__reverse,test,OB/hi
HS.2044__top,tune,OB/lo
HS.2045__obverse,tune,OB/mid
HS.2045__reverse,test,OB/hi
HS.2046__obverse,test,OB/mid
HS.2046__reverse,test,OB/hi
HS.2047__obverse,tune,OB/mid
HS.2047__reverse,test,OB/hi
HS.2048__obverse,test,OB/mid
HS.2048__reverse,test,OB/hi
HS.2048__top,tune,OB/lo
HS.2049__obverse,test,OB/hi
HS.2049__reverse,test,OB/hi
HS.2049__top,tune,OB/lo
HS.2050__obverse,test,OB/lo
HS.2050__reverse,test,OB/hi
HS.2051__obverse,test,OB/mid
HS.2051__reverse,test,OB/mid
HS.2052__obverse,test,OB/mid
HS.2052__reverse,test,OB/hi
HS.2052__top,test,OB/lo
HS.2053__obverse,tune,OB/mid
HS.2053__reverse,test,OB/hi
HS.2053__top,tune,OB/lo
HS.2054__obverse,tune,OB/hi
HS.2054__reverse,test,OB/hi
HS.2054__top,test,OB/lo
HS.2055__obverse,test,OB/hi
HS.2055__reverse,test,OB/mid
HS.2056__obverse,test,OB/hi
HS.2056__reverse,test,OB/hi
HS.2056__top,tune,OB/lo
HS.2057__obverse,tune,OB/mid
HS.2057__reverse,tune,OB/hi
HS.2058__obverse,tune,OB/mid
HS.2058__reverse,tune,OB/mid
HS.2061__obverse__tablet,tune,OB/mid
HS.2061__reverse__tablet,test,OB/mid
HS.2062__bottom,test,OB/lo
HS.2062__obverse,tune,OB/hi
HS.2062__reverse,tune,OB/hi
HS.2062__top,tune,OB/lo
HS.2063__obverse__envelope,test,OB/mid
HS.2063__reverse__envelope,test,OB/mid
HS.2064__obverse,tune,OB/hi
HS.2064__reverse,test,OB/mid
HS.2065__obverse,test,OB/mid
HS.2065__reverse,tune,OB/mid
HS.2067__obverse,test,OB/hi
HS.2067__reverse,tune,OB/hi
HS.2067__top,tune,OB/lo
HS.2069__obverse,tune,OB/mid
HS.2069__reverse,test,OB/hi
HS.2069__top,tune,OB/mid
HS.2070__obverse__tablet,test,OB/mid
HS.2070__reverse,test,OB/mid
HS.2070__reverse__tablet,tune,OB/mid
HS.2071__obverse,test,OB/mid
HS.2071__reverse,tune,OB/mid
HS.2072__obverse,tune,OB/lo
HS.2072__obverse__tablet,tune,OB/hi
HS.2072__reverse,tune,OB/lo
HS.2072__reverse__tablet,tune,OB/mid
HS.2073__obverse,tune,OB/mid
HS.2073__reverse,test,OB/mid
HS.2074__obverse__tablet,tune,OB/mid
HS.2074__reverse__tablet,tune,OB/mid
HS.2075__bottom,tune,OB/lo
HS.2075__obverse,test,OB/hi
HS.2075__reverse,tune,OB/hi
HS.2075__top,test,OB/mid
HS.2076__obverse,tune,OB/hi
HS.2076__reverse,test,OB/hi
HS.2076__top,test,OB/lo
HS.2077__bottom,tune,OB/mid
HS.2077__obverse,tune,OB/mid
HS.2077__reverse,tune,OB/mid
HS.2077__top,test,OB/lo
HS.2078__bottom,tune,OB/lo
HS.2078__obverse,tune,OB/hi
HS.2078__reverse,tune,OB/hi
HS.2079__obverse,test,OB/hi
HS.2079__reverse,tune,OB/hi
HS.2080__obverse,tune,OB/hi
HS.2080__reverse,test,OB/mid
HS.2080__top,tune,OB/lo
HS.2081__obverse,test,OB/hi
HS.2081__reverse,test,OB/hi
HS.2081__top,test,OB/lo
HS.2082__obverse,test,OB/hi
HS.2082__reverse,test,OB/hi
HS.2083__obverse,test,OB/mid
HS.2083__reverse,test,OB/hi
HS.2084__obverse,test,OB/hi
HS.2084__reverse,test,OB/hi
HS.2084__top,test,OB/lo
HS.2085__obverse,tune,OB/hi
HS.2085__reverse,tune,OB/hi
HS.2086__obverse,test,OB/mid
HS.2086__reverse,test,OB/mid
HS.2087__obverse,test,OB/hi
HS.2091__obverse,test,OB/hi
HS.2091__reverse,tune,OB/hi
HS.2093__obverse,tune,OB/mid
HS.2093__reverse,tune,OB/mid
HS.2096__obverse,test,OB/hi
HS.2096__reverse,tune,OB/mid
HS.2098__obverse__tablet,test,OB/mid
HS.2098__reverse__tablet,tune,OB/hi
HS.2103__obverse,tune,OB/hi
HS.2103__reverse,tune,OB/mid
HS.2104__obverse,test,OB/hi
HS.2104__reverse,tune,OB/hi
HS.2106__obverse,test,OB/hi
HS.2106__reverse,tune,OB/hi
HS.2107__obverse,test,OB/hi
HS.2107__reverse,test,OB/hi
HS.2108__obverse,test,OB/hi
HS.2108__reverse,test,OB/mid
HS.2115__obverse__envelope,test,OB/hi
HS.2115__reverse__envelope,test,OB/hi
HS.2115__top__envelope,test,OB/lo
HS.2116__obverse__envelope,tune,OB/hi
HS.2116__reverse__envelope,tune,OB/hi
HS.2117__obverse,tune,OB/hi
HS.2117__obverse__tablet,tune,OB/hi
HS.2117__reverse__tablet,test,OB/hi
HS.2119__obverse__tablet,tune,OB/hi
HS.2119__reverse,test,OB/hi
HS.2119__reverse__tablet,test,OB/hi
HS.2119__top__tablet,tune,OB/mid
HS.2121__obverse__tablet,tune,OB/mid
HS.2121__reverse__tablet,test,OB/mid
HS.2121__top__tablet,test,OB/mid
HS.2132__obverse__envelope,test,OB/hi
HS.2134__obverse,test,OB/hi
HS.2134__reverse,tune,OB/hi
HS.2136__obverse,tune,OB/hi
HS.2136__reverse,test,OB/mid
HS.2138__obverse__tablet,tune,OB/hi
HS.2138__reverse__tablet,tune,OB/hi
HS.2138__top__tablet,tune,OB/lo
HS.2143__obverse__tablet,tune,OB/mid
HS.2143__reverse__tablet,tune,OB/lo
HS.2144__obverse,tune,OB/hi
HS.2144__reverse,tune,OB/hi
HS.2145__obverse,test,OB/hi
HS.2145__reverse,test,OB/hi
HS.2148__obverse,tune,OB/hi
HS.2148__reverse,test,OB/mid
HS.2177__obverse,test,OB/hi
HS.2177__reverse,test,OB/mid
HS.2177__top,test,OB/lo
HS.228__obverse,test,OB/hi
HS.2330__obverse,tune,OB/mid
HS.2330__reverse,tune,OB/hi
HS.2340__obverse,test,OB/mid
HS.2340__reverse,tune,OB/hi
HS.2363__obverse__tablet,test,OB/hi
HS.2363__reverse,tune,OB/lo
HS.2363__reverse__tablet,tune,OB/hi
HS.2363__top__tablet,tune,OB/lo
HS.2371__obverse,test,OB/mid
HS.2371__reverse,test,OB/mid
HS.2400__obverse,tune,OB/hi
HS.2400__reverse,test,OB/hi
HS.2400__top,tune,OB/hi
HS.2450__obverse,test,OB/mid
HS.2450__reverse,tune,OB/mid
HS.739__obverse,tune,OB/mid
IM.57848__obverse,tune,OB/hi
IM.58381__obverse,test,OB/hi
IM.58381__reverse,tune,OB/hi
IM.58392__obverse,test,OB/hi
IM.58392__reverse,tune,OB/hi
IM.58392__top,tune,OB/hi
IM.58409__obverse,test,OB/mid
IM.58409__reverse,test,OB/mid
IM.58415__obverse,tune,OB/hi
IM.58415__reverse,tune,OB/lo
IM.58417__obverse,test,OB/hi
IM.58417__reverse,tune,OB/hi
IM.58448__obverse,tune,OB/mid
IM.58448__reverse,tune,OB/mid
IM.58457__obverse,tune,OB/hi
IM.58457__reverse,tune,OB/lo
IM.58467__obverse,tune,OB/mid
IM.58478__reverse,tune,OB/mid
IM.58485__obverse,test,OB/mid
IM.58485__reverse,tune,OB/mid
IM.58488__obverse,test,OB/mid
IM.58503__obverse,tune,OB/mid
IM.58503__reverse,tune,OB/hi
IM.58506__obverse,test,OB/lo
IM.58506__reverse,tune,OB/mid
IM.58529__obverse,tune,OB/mid
IM.58529__reverse,tune,OB/mid
IM.58531__obverse,tune,OB/mid
IM.58531__reverse,tune,OB/mid
IM.58533__obverse,tune,OB/hi
IM.58533__reverse,tune,OB/hi
IM.58543__obverse,test,OB/mid
IM.58543__reverse,test,OB/mid
IM.58557__obverse,test,OB/mid
IM.58574__obverse,tune,OB/hi
IM.58591__obverse,tune,OB/hi
IM.58610__obverse,tune,OB/mid
IM.58654__obverse,tune,OB/hi
IM.58654__reverse,tune,OB/mid
IM.58657__obverse,test,OB/mid
IM.58657__reverse,test,OB/mid
IM.58683__obverse,tune,OB/hi
IM.58684__obverse,tune,OB/lo
IM.58684__reverse,tune,OB/hi
IM.58685__obverse,test,OB/hi
IM.58702__obverse,test,OB/hi
IM.58702__reverse,test,OB/hi
IM.58712__obverse,tune,OB/mid
IM.58712__reverse,tune,OB/mid
IM.58728__obverse,tune,OB/hi
IM.58964__obverse,test,OB/mid
IM.59764__face,tune,OB/hi
IM.67544__face,tune,NA/mid
IM.67552__obverse,tune,NA/hi
IM.67565__obverse,test,NA/lo
IM.67569__obverse,tune,NA/mid
IM.67569__reverse,test,NA/hi
IM.67571__obverse,tune,NA/hi
IM.67594__face,tune,NA/mid
IM.67601__obverse,tune,NA/hi
IM.67601__reverse,test,NA/mid
IM.67602__obverse,tune,NA/lo
IM.67632__obverse,test,NA/lo
IM.67634__obverse,tune,NA/mid
K.10084__reverse,test,NA/mid
K.101__reverse,tune,NA/lo
K.10126__face,test,NA/lo
K.10163__face,test,NA/mid
K.10168__face,test,NA/lo
K.10208__face,test,NA/mid
K.10211__face,tune,NA/mid
K.10225__face,test,NA/lo
K.10411__reverse,tune,NA/lo
K.105__obverse,test,NA/mid
K.105__reverse,test,NA/lo
K.10545__obverse,test,NA/mid
K.10545__reverse,tune,NA/hi
K.10548__reverse,tune,NA/mid
K.10823__face,tune,NA/lo
K.1096__obverse,test,NA/lo
K.10998__obverse,test,NA/lo
K.10998__reverse,tune,NA/lo
K.11029__face,tune,NA/mid
K.11052__face,tune,NA/lo
K.11063__face,tune,NA/lo
K.11156__obverse,test,NA/lo
K.11229__face,test,NA/lo
K.11261__face,tune,NA/mid
K.11309__obverse,test,NA/hi
K.11359__obverse,tune,NA/lo
K.11373__face,tune,NA/mid
K.11570__face,test,NA/lo
K.11618__obverse,tune,NA/mid
K.11647__face,test,NA/lo
K.11688__face,tune,NA/lo
K.11700__face,tune,NA/mid
K.11749__reverse,test,NA/lo
K.11814__face,test,NA/lo
K.11841__face,test,NA/lo
K.11886__obverse,tune,NA/mid
K.11947__obverse,test,NA/lo
K.11947__reverse,tune,NA/mid
K.12000__obverse,tune,NA/mid
K.12000__reverse,test,NA/hi
K.12191__face,tune,NA/hi
K.12375__reverse,tune,NA/lo
K.12508__face,test,NA/lo
K.12514__face,tune,NA/lo
K.12656__face,tune,NA/lo
K.12687__face,test,NA/mid
K.12728__face,tune,NA/lo
K.12743__face,test,NA/lo
K.12757__face,test,NA/lo
K.1283__obverse,tune,NA/mid
K.1284__obverse,test,NA/lo
K.12883__face,tune,NA/mid
K.12900__face,test,NA/lo
K.12999__face,test,NA/mid
K.130__obverse,tune,NA/mid
K.13195__obverse,test,NA/lo
K.13297__obverse,test,NA/lo
K.133__obverse,tune,NA/lo
K.133__reverse,tune,NA/lo
K.13314__face,test,NA/lo
K.13355__face,test,NA/mid
K.13416__face,tune,NA/lo
K.13419__face,test,NA/lo
K.13554__face,tune,NA/lo
K.13669__face,test,NA/lo
K.1367__obverse,tune,NA/lo
K.13682__face,tune,NA/mid
K.137__obverse,test,NA/lo
K.137__reverse,test,NA/lo
K.13711__face,test,NA/lo
K.13731__face,tune,NA/mid
K.13738__face,test,NA/mid
K.138__obverse,test,NA/lo
K.138__reverse,tune,NA/lo
K.13839__obverse,tune,NA/lo
K.13852__face,tune,NA/lo
K.13887__face,test,NA/mid
K.1390__obverse,tune,NA/lo
K.13963__face,test,NA/lo
K.13987__face,tune,NA/lo
K.1400__obverse,test,NA/lo
K.1401.A__obverse,test,NA/mid
K.14024__face,test,NA/lo
K.14051__face,test,NA/lo
K.14120__face,test,NA/lo
K.14457__face,test,NA/lo
K.14481__face,tune,NA/mid
K.14522__face,test,NA/mid
K.14699__face,tune,NA/lo
K.147__face,tune,NA/lo
K.14714__face,tune,NA/lo
K.14783__face,test,NA/lo
K.14800__face,test,NA/lo
K.14815__face,tune,NA/lo
K.14854__face,test,NA/hi
K.149__obverse,test,NA/lo
K.15__obverse,tune,NA/hi
K.15190__obverse,test,NA/mid
K.15190__reverse,tune,NA/mid
K.15208__reverse,tune,NA/lo
K.15239__face,test,NA/mid
K.15336__face,test,NA/lo
K.155__obverse,test,NA/lo
K.15510__face,tune,NA/lo
K.1562__obverse,test,NA/hi
K.1562__reverse,tune,NA/mid
K.158__reverse,tune,NA/mid
K.15827__reverse,test,NA/hi
K.16002__face,tune,NA/mid
K.16237__face,tune,NA/lo
K.16420__face,tune,NA/lo
K.16446__face,test,NA/mid
K.16712__face,test,NA/lo
K.16902__face,tune,NA/mid
K.171__obverse,tune,NA/lo
K.171__reverse,test,NA/lo
K.17176__face,tune,NA/lo
K.17227__face,tune,NA/mid
K.17255__face,tune,NA/mid
K.17293__reverse,test,NA/lo
K.1750__face,test,NA/lo
K.17666__face,test,NA/mid
K.17674__face,test,NA/mid
K.17677__face,test,NA/mid
K.17912__face,tune,NA/mid
K.17956__face,tune,NA/lo
K.17957__face,tune,NA/lo
K.1808__obverse,test,NA/lo
K.1808__reverse,tune,NA/mid
K.1812__obverse,tune,NA/mid
K.18177__face,tune,NA/mid
K.18203__face,tune,NA/lo
K.18217__face,tune,NA/lo
K.18227__face,test,NA/lo
K.1832__reverse,test,NA/lo
K.18596__face,test,NA/lo
K.187__reverse,tune,NA/lo
K.1872__face,tune,NA/lo
K.18874__face,tune,NA/mid
K.19000__face,tune,NA/mid
K.19001__face,tune,NA/lo
K.19006__face,test,NA/mid
K.19118__face,test,NA/mid
K.193__reverse,test,NA/mid
K.19390__face,test,NA/lo
K.19403__face,tune,NA/lo
K.19492__face,tune,NA/lo
K.19575__face,test,NA/lo
K.19590__face,tune,NA/lo
K.19604__face,test,NA/mid
K.19812__face,test,NA/hi
K.19888__face,test,NA/mid
K.2__bottom,tune,NA/lo
K.2__obverse,test,NA/mid
K.2__reverse,tune,NA/mid
K.2003__obverse,tune,NA/mid
K.20055__face,tune,NA/lo
K.2011__reverse,tune,NA/mid
K.2025__face,tune,NA/mid
K.20256__face,test,NA/mid
K.20382__face,tune,NA/mid
K.20493__face,tune,NA/hi
K.20512__face,test,NA/lo
K.20652__face,tune,NA/lo
K.2066__reverse,tune,NA/hi
K.2067__reverse,test,NA/hi
K.20700__reverse,test,NA/lo
K.2080__reverse,test,NA/lo
K.20863__face,tune,NA/lo
K.20867__face,tune,NA/lo
K.20992__face,tune,NA/lo
K.21001__face,tune,NA/lo
K.21003__face,tune,NA/lo
K.2114__face,test,NA/lo
K.213__face,tune,NA/lo
K.2141__reverse,test,NA/lo
K.21414__face,tune,NA/lo
K.2144__reverse,test,NA/lo
K.2145__reverse,test,NA/lo
K.2158__obverse,tune,NA/mid
K.2158__reverse,test,NA/mid
K.21585__face,tune,NA/lo
K.2163__reverse,tune,NA/lo
K.2177__obverse,tune,NA/mid
K.21887__face,tune,NA/lo
K.2189__obverse,tune,NA/mid
K.2192__obverse,test,NA/lo
K.2192__reverse,tune,NA/lo
K.2210__reverse,test,NA/mid
K.2211__face,tune,NA/lo
K.2227__reverse,test,NA/mid
K.223__obverse,tune,NA/lo
K.2239__face,test,NA/lo
K.2243__obverse,tune,NA/mid
K.2255__obverse,tune,NA/mid
K.2261__face,test,NA/hi
K.2274__obverse,tune,NA/mid
K.2288__reverse,tune,NA/lo
K.2289__face,tune,NA/mid
K.2291__reverse,tune,NA/lo
K.22981__face,test,NA/lo
K.2308__face,tune,NA/lo
K.2311__face,test,NA/lo
K.2333__reverse,tune,NA/lo
K.2350__obverse,tune,NA/mid
K.2353__obverse,tune,NA/mid
K.2353__reverse,tune,NA/lo
K.2364__obverse,tune,NA/lo
K.2364__reverse,tune,NA/lo
K.2365__reverse,test,NA/lo
K.2389__obverse,test,NA/mid
K.24__obverse,tune,NA/mid
K.24__reverse,tune,NA/lo
K.2414__obverse,tune,NA/lo
K.2443__reverse,tune,NA/lo
K.2472__face,tune,NA/lo
K.2478__reverse,tune,NA/mid
K.2486__obverse,tune,NA/lo
K.2487__face,tune,NA/lo
K.2494__obverse,tune,NA/lo
K.2494__reverse,tune,NA/lo
K.2512__reverse,tune,NA/mid
K.2521__reverse,tune,NA/mid
K.2533__reverse,test,NA/lo
K.2541__obverse,test,NA/mid
K.2541__reverse,test,NA/mid
K.2546__reverse,test,NA/mid
K.2562__reverse,test,NA/lo
K.2567__face,test,NA/lo
K.258__obverse,test,NA/lo
K.258__reverse,tune,NA/lo
K.2584__obverse,test,NA/lo
K.2599__reverse,test,NA/lo
K.2638__face,test,NA/mid
K.2670__reverse,test,NA/mid
K.2680__obverse,tune,NA/lo
K.2680__reverse,tune,NA/hi
K.2703__face,tune,NA/lo
K.2712__obverse,tune,NA/mid
K.2712__reverse,test,NA/mid
K.2736__face,test,NA/lo
K.2753__face,test,NA/lo
K.2771__reverse,test,NA/lo
K.2794__reverse,tune,NA/mid
K.2811__reverse,tune,NA/lo
K.2826__face,tune,NA/mid
K.2834__obverse,test,NA/mid
K.2834__reverse,test,NA/hi
K.2851__obverse,test,NA/lo
K.2851__reverse,test,NA/lo
K.2856__obverse,test,NA/lo
K.2860__obverse,test,NA/mid
K.2882__obverse,tune,NA/mid
K.2894__obverse,tune,NA/mid
K.2894__reverse,test,NA/lo
K.2960__obverse,test,NA/mid
K.2973__obverse,test,NA/mid
K.3063__face,test,NA/lo
K.3068__reverse,tune,NA/lo
K.3118__obverse,test,NA/lo
K.3118__reverse,tune,NA/hi
K.3124__face,test,NA/lo
K.3229__obverse,test,NA/lo
K.3229__reverse,tune,NA/mid
K.3248__reverse,test,NA/lo
K.3281__obverse,tune,NA/lo
K.3285__face,test,NA/mid
K.3301__obverse,tune,NA/lo
K.3301__reverse,test,NA/lo
K.3333__obverse,test,NA/lo
K.3356__obverse,tune,NA/lo
K.3356__reverse,tune,NA/lo
K.3372__obverse,tune,NA/mid
K.3384__obverse,tune,NA/lo
K.3384__reverse,tune,NA/lo
K.3410__reverse,test,NA/lo
K.3414__reverse,tune,NA/mid
K.3446__face,test,NA/mid
K.3464__obverse,tune,NA/mid
K.3482__obverse,test,NA/mid
K.3484__obverse,test,NA/lo
K.3499__obverse,tune,NA/mid
K.3551__face,test,NA/mid
K.3643__reverse,test,NA/mid
K.3669__reverse,tune,NA/lo
K.3677__reverse,test,NA/lo
K.3708__face,test,NA/mid
K.3754__reverse,tune,NA/mid
K.3765__obverse,tune,NA/lo
K.3810__obverse,tune,NA/lo
K.3810__reverse,tune,NA/hi
K.3814__obverse,tune,NA/lo
K.3816__reverse,test,NA/lo
K.3837__reverse,test,NA/lo
K.3838__reverse,test,NA/lo
K.3841__obverse,tune,NA/lo
K.3930__reverse,tune,NA/lo
K.3941__obverse,tune,NA/lo
K.3946__obverse,test,NA/lo
K.3980__face,test,NA/mid
K.3993__obverse,tune,NA/lo
K.3993__reverse,test,NA/lo
K.3996__obverse,test,NA/lo
K.4003__obverse,test,NA/mid
K.4003__reverse,tune,NA/mid
K.4028__reverse,tune,NA/lo
K.4030__obverse,tune,NA/mid
K.4030__reverse,test,NA/mid
K.4036__obverse,test,NA/lo
K.4039__obverse,tune,NA/lo
K.4041__obverse,tune,NA/lo
K.4063__obverse,test,NA/mid
K.4075__face,test,NA/lo
K.4206__reverse,test,NA/lo
K.4273__reverse,tune,NA/lo
K.4387__reverse,test,NA/mid
K.44__obverse,test,NA/lo
K.4505__face,tune,NA/lo
K.4551__obverse,test,NA/mid
K.4614__obverse,test,NA/mid
K.4629__reverse,test,NA/lo
K.4638__reverse,test,NA/lo
K.4639__obverse,test,NA/lo
K.4650__obverse,test,NA/mid
K.4782__face,test,NA/mid
K.4806__face,tune,NA/mid
K.4809__obverse,tune,NA/lo
K.4814__obverse,tune,NA/lo
K.4837__obverse,tune,NA/mid
K.4838__face,tune,NA/lo
K.4874__obverse,test,NA/lo
K.4874__reverse,test,NA/mid
K.4899__obverse,tune,NA/lo
K.4900__obverse,tune,NA/mid
K.4902__obverse,test,NA/lo
K.4950__obverse,tune,NA/mid
K.4950__reverse,test,NA/lo
K.4951__reverse,test,NA/mid
K.4953__obverse,tune,NA/lo
K.4956__obverse,tune,NA/mid
K.4984__face,tune,NA/lo
K.4987__face,test,NA/mid
K.4995__obverse,tune,NA/lo
K.5036__face,tune,NA/lo
K.5067__obverse,test,NA/lo
K.5099__face,test,NA/lo
K.5134__face,tune,NA/mid
K.5137__obverse,tune,NA/mid
K.5210__face,tune,NA/lo
K.5218__obverse,tune,NA/lo
K.5235__obverse,test,NA/mid
K.5243__face,test,NA/lo
K.5273__obverse,tune,NA/lo
K.5375__obverse,tune,NA/lo
K.54__reverse,tune,NA/lo
K.5671__face,test,NA/mid
K.57__obverse,test,NA/mid
K.57__reverse,tune,NA/lo
K.58__obverse,tune,NA/lo
K.5861__face,test,NA/mid
K.5870__face,tune,NA/mid
K.5876__obverse,test,NA/mid
K.5962__face,test,NA/mid
K.5963__face,tune,NA/mid
K.5981__reverse,tune,NA/hi
K.6013__obverse,test,NA/lo
K.6053__obverse,test,NA/mid
K.6053__reverse,test,NA/mid
K.6067__obverse,tune,NA/mid
K.6173__face,tune,NA/lo
K.6201__obverse,tune,NA/mid
K.6201__reverse,tune,NA/hi
K.6241__face,test,NA/lo
