face,line_no,target,sign,prototype,face_overlay,line_overlay
YBC.4590__reverse,11,YBC.4590__reverse__L11__S01__0x1214e.png,IM,IM,output/phase6_OB_first/overlays/faces/YBC.4590__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.4590__reverse__L11.jpg
NCBT.1812__obverse,3,NCBT.1812__obverse__L03__S01__0x121ac.png,KU₃,KU3,output/phase6_OB_first/overlays/faces/NCBT.1812__obverse.jpg,output/phase6_OB_first/overlays/lines/NCBT.1812__obverse__L03.jpg
HS.2363__reverse,2,HS.2363__reverse__L02__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/HS.2363__reverse.jpg,output/phase6_OB_first/overlays/lines/HS.2363__reverse__L02.jpg
HS.2049__obverse,6,HS.2049__obverse__L06__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/HS.2049__obverse.jpg,output/phase6_OB_first/overlays/lines/HS.2049__obverse__L06.jpg
YBC.5699__reverse,1,YBC.5699__reverse__L01__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/YBC.5699__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5699__reverse__L01.jpg
YBC.5732__obverse,1,YBC.5732__obverse__L01__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/YBC.5732__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5732__obverse__L01.jpg
YBC.6152__obverse,9,YBC.6152__obverse__L09__S01__0x12147.png,|IGI.DIB|,IGI & DIB,output/phase6_OB_first/overlays/faces/YBC.6152__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.6152__obverse__L09.jpg
BM.131470__reverse,6,BM.131470__reverse__L06__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/BM.131470__reverse.jpg,output/phase6_OB_first/overlays/lines/BM.131470__reverse__L06.jpg
NBC.7278__reverse,1,NBC.7278__reverse__L01__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/NBC.7278__reverse.jpg,output/phase6_OB_first/overlays/lines/NBC.7278__reverse__L01.jpg
YBC.5748__reverse,2,YBC.5748__reverse__L02__S01__0x1213f.png,I,I,output/phase6_OB_first/overlays/faces/YBC.5748__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5748__reverse__L02.jpg
YBC.5692__reverse__tablet,1,YBC.5692__reverse__tablet__L01__S01__0x1222c.png,MU,MU,output/phase6_OB_first/overlays/faces/YBC.5692__reverse__tablet.jpg,output/phase6_OB_first/overlays/lines/YBC.5692__reverse__tablet__L01.jpg
YBC.5078__obverse,1,YBC.5078__obverse__L01__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/YBC.5078__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5078__obverse__L01.jpg
YBC.7191__reverse,1,YBC.7191__reverse__L01__S01__0x1222c.png,MU,MU,output/phase6_OB_first/overlays/faces/YBC.7191__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.7191__reverse__L01.jpg
YBC.9091__reverse__envelope,3,YBC.9091__reverse__envelope__L03__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/YBC.9091__reverse__envelope.jpg,output/phase6_OB_first/overlays/lines/YBC.9091__reverse__envelope__L03.jpg
YBC.5722__reverse,2,YBC.5722__reverse__L02__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/YBC.5722__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5722__reverse__L02.jpg
YBC.5703__obverse,2,YBC.5703__obverse__L02__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/YBC.5703__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5703__obverse__L02.jpg
YBC.5704__reverse,11,YBC.5704__reverse__L11__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/YBC.5704__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5704__reverse__L11.jpg
HS.2070__reverse__tablet,7,HS.2070__reverse__tablet__L07__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/HS.2070__reverse__tablet.jpg,output/phase6_OB_first/overlays/lines/HS.2070__reverse__tablet__L07.jpg
YBC.6326__obverse,1,YBC.6326__obverse__L01__S01__0x1230d.png,|U.U.U|,U U U,output/phase6_OB_first/overlays/faces/YBC.6326__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.6326__obverse__L01.jpg
BM.46918__obverse,1,BM.46918__obverse__L01__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/BM.46918__obverse.jpg,output/phase6_OB_first/overlays/lines/BM.46918__obverse__L01.jpg
NBC.6764__obverse,7,NBC.6764__obverse__L07__S01__0x121a0.png,KI,KI,output/phase6_OB_first/overlays/faces/NBC.6764__obverse.jpg,output/phase6_OB_first/overlays/lines/NBC.6764__obverse__L07.jpg
YBC.5684__obverse,1,YBC.5684__obverse__L01__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/YBC.5684__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5684__obverse__L01.jpg
U.30616__reverse,2,U.30616__reverse__L02__S01__0x121a0.png,KI,KI,output/phase6_OB_first/overlays/faces/U.30616__reverse.jpg,output/phase6_OB_first/overlays/lines/U.30616__reverse__L02.jpg
HS.2132__obverse__envelope,2,HS.2132__obverse__envelope__L02__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/HS.2132__obverse__envelope.jpg,output/phase6_OB_first/overlays/lines/HS.2132__obverse__envelope__L02.jpg
HS.2091__obverse,2,HS.2091__obverse__L02__S01__0x1222c.png,MU,MU,output/phase6_OB_first/overlays/faces/HS.2091__obverse.jpg,output/phase6_OB_first/overlays/lines/HS.2091__obverse__L02.jpg
NBC.6257__obverse,1,NBC.6257__obverse__L01__S01__0x1224c.png,NI,NI,output/phase6_OB_first/overlays/faces/NBC.6257__obverse.jpg,output/phase6_OB_first/overlays/lines/NBC.6257__obverse__L01.jpg
YBC.4220__reverse,1,YBC.4220__reverse__L01__S01__0x1208d.png,E₂,E2,output/phase6_OB_first/overlays/faces/YBC.4220__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.4220__reverse__L01.jpg
YBC.4598__obverse,10,YBC.4598__obverse__L10__S01__0x1214e.png,IM,IM,output/phase6_OB_first/overlays/faces/YBC.4598__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.4598__obverse__L10.jpg
BM.48430__reverse,5,BM.48430__reverse__L05__S01__0x1231d.png,UM,UM,output/phase6_OB_first/overlays/faces/BM.48430__reverse.jpg,output/phase6_OB_first/overlays/lines/BM.48430__reverse__L05.jpg
YBC.13099__obverse,2,YBC.13099__obverse__L02__S01__0x12227.png,MAŠ₂,MASH2,output/phase6_OB_first/overlays/faces/YBC.13099__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.13099__obverse__L02.jpg
YBC.4275__obverse,2,YBC.4275__obverse__L02__S01__0x12295.png,SAG,SAG,output/phase6_OB_first/overlays/faces/YBC.4275__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.4275__obverse__L02.jpg
HS.2042__obverse,3,HS.2042__obverse__L03__S01__0x1222b.png,MIN,MIN,output/phase6_OB_first/overlays/faces/HS.2042__obverse.jpg,output/phase6_OB_first/overlays/lines/HS.2042__obverse__L03.jpg
YBC.4356__obverse,2,YBC.4356__obverse__L02__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/YBC.4356__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.4356__obverse__L02.jpg
